wall_time_s,controller_clock_s,fault_code,armed,stop_request,policy_output_numeric,heartbeat,raw_candidate,statusword,controlword,drive_state_internal,mode_command,actual_torque_raw,ethercat_init,safe_command_raw,pre_integer_command_raw,pdo_command_int16_raw,mapping_error_raw,q_link_rad,dq_link_rad_s,theta_joint_rad,dtheta_joint_rad_s,external_target_rad,policy_target_rad
0.0219435,0,0,0,0,-124.287330627441,9,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.0477689,0,0,0,0,-122.797325134277,36,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.0726116,0,0,0,0,-40.6563110351563,62,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.0970422,0,0,0,0,-4.25667142868042,86,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1282747,0,0,0,0,-0.64356529712677,114,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1535499,0,0,0,0,-0.43328058719635,142,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1801867,0,0,0,0,-0.4207364320755,168,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2144181,0,0,0,0,-0.419776082038879,199,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2521071,0,0,0,0,-0.419734597206116,240,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2784849,0,0,0,0,-0.419735074043274,269,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3147459,0,0,0,0,-0.419735074043274,301,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.340724,0,0,0,0,-0.419735074043274,329,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.366875,0,0,0,0,-0.419735074043274,355,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.392326,0,0,0,0,-0.419735074043274,380,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4196168,0,0,0,0,-0.419735074043274,407,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
