time_s,controller_clock_s,target_angle_deg,link_angle_deg,link_velocity_rad_s,motor_angle_deg,motor_velocity_rad_s,tracking_error_deg,policy_output_raw,safe_command_raw,pre_integer_command_raw,pdo_command_raw,actual_torque_raw,fault_code,armed
0,12.541,30,0.0054931640625,0.00454371772695,0.170947265625,0.225396135135,29.9945068359,116.920188904,116.916419983,116.91594696,116,96,0,1
0.031,12.572,30,0.0823974609375,0.0694760276706,0.88857421875,0.451574188745,29.9176025391,116.916557312,116.918907166,116.919090271,116,110,0,1
0.06,12.601,30,0.401000976562,0.267829736808,1.61982421875,0.510375684045,29.5989990234,116.924415588,116.925132751,116.925102234,116,115,0,1
0.086,12.627,30,1.06018066406,0.496631584594,2.35678710938,0.520719385857,28.9398193359,116.928138733,116.931053162,116.931396484,116,117,0,1
0.11,12.651,30,1.99951171875,0.712587301738,3.12495117188,0.552966399201,28.0004882813,116.939430237,116.943939209,116.944519043,116,121,0,1
0.135,12.676,30,3.25744628906,0.911620235494,4.01879882812,0.599996521342,26.7425537109,116.966621399,116.981895447,116.983833313,116,108,0,1
0.163,12.704,30,4.68566894531,1.05782819672,4.94868164062,0.693674123226,25.3143310547,117.021690369,117.040626526,117.043510437,117,114,0,1
0.187,12.728,30,6.23474121094,1.09130525112,6.0029296875,0.771211456228,23.7652587891,117.090278625,117.112968445,117.115653992,117,119,0,1
0.213,12.754,30,7.66845703125,1.14954588667,7.13540039063,0.859132681579,22.3315429688,117.16960144,117.190925598,117.19467926,117,119,0,1
0.238,12.779,30,9.56359863281,1.17702379874,8.73588867187,0.934325883116,20.4364013672,117.264762878,117.301933289,117.311485291,117,112,0,1
0.279,12.82,30,12.0300292969,1.21910559984,10.7323242188,1.00403527192,17.9699707031,117.488227844,117.527297974,117.532913208,117,114,0,1
0.309,12.85,30,14.1668701172,1.26329868646,12.5828613281,1.07247698203,15.8331298828,117.729782104,117.823204041,117.837913513,117,112,0,1
0.344,12.885,30,16.6662597656,1.26696581703,14.8904296875,1.16217017781,13.3337402344,118.395957947,118.535438538,118.546562195,118,119,0,1
0.371,12.912,30,18.369140625,1.25486414085,16.6038574219,1.20581813509,11.630859375,116.580413818,109.061714172,106.667724609,103,114,0,1
0.396,12.937,30,20.0006103516,1.23790273737,18.1256835938,1.08677035267,9.99938964844,61.7293701172,54.8030014038,53.8182983398,53,59,0,1
0.418,12.959,30,21.6156005859,1.22858794155,19.4642578125,0.877711602821,8.38439941406,40.8698959351,35.0058097839,34.1345214844,33,36,0,1
0.448,12.989,30,23.4997558594,1.05636730099,20.858203125,0.652853360374,6.50024414063,32.2757492065,32.0571250916,31.8657951355,31,33,0,1
0.479,13.02,30,25.0103759766,0.939512497047,21.800390625,0.536244534799,4.98962402344,23.6774597168,24.0995750427,24.3263206482,24,22,0,1
0.51,13.051,30,26.2408447266,0.634892235559,22.7491699219,0.515356421924,3.75915527344,29.6099281311,30.9471626282,31.1548042297,31,28,0,1
0.544,13.085,30,26.89453125,0.286533326193,23.7098144531,0.49539914521,3.10546875,38.6333465576,41.3273544312,41.7704467773,42,45,0,1
0.568,13.109,30,27.0538330078,0.103258539084,24.4085449219,0.52019605733,2.94616699219,50.136882782,52.169631958,52.4173431396,52,54,0,1
0.592,13.133,30,27.0977783203,0.0415304808771,25.1112304688,0.486782663726,2.90222167969,49.5913314819,46.2776107788,45.8121414185,45,56,0,1
0.617,13.158,30,27.2296142578,0.113031509437,25.7352539063,0.349323355169,2.77038574219,33.7747421265,26.9721450806,26.0932636261,26,24,0,1
0.642,13.183,30,27.5592041016,0.262345853781,26.0978027344,0.157397288026,2.44079589844,5.8359246254,-0.462112545967,-1.50376117229,-3,7,0,1
0.668,13.209,30,28.0920410156,0.40164685036,26.1716308594,-0.0168065601814,1.90795898438,-18.2499675751,-21.4123020172,-21.6093940735,-22,-21,0,1
0.691,13.232,30,28.6743164062,0.465864991642,26.1628417969,0.00016356417467,1.32568359375,-26.4189243317,-28.3819904327,-28.6460494995,-29,-17,0,1
0.715,13.256,30,29.2181396484,0.419972250091,26.1645996094,0.00393750692848,0.781860351562,-27.6618156433,-25.4243335724,-25.4243335724,-26,-17,0,1
