step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.574102,1.000000
1,0.001000,0.000000,0.000000,0.000000,0.000000,0.582963,1.000000
2,0.002000,0.000000,0.000000,0.000000,0.000000,0.612101,1.000000
3,0.003000,0.000000,0.000000,0.000000,0.000000,0.662461,1.000000
4,0.004000,0.000000,0.000000,0.000000,0.000000,0.730954,1.000000
5,0.005000,0.000000,0.000000,0.000000,0.000000,0.817272,1.000000
6,0.006000,0.000000,0.000000,0.000000,0.000000,0.925431,1.000000
7,0.007000,0.000000,0.000033,0.000000,0.000000,1.062017,1.000000
8,0.008000,0.000000,0.000108,0.000000,0.000000,1.219739,1.000000
9,0.009000,0.000000,0.000227,0.000000,0.000000,1.390222,1.000000
10,0.010000,0.000000,0.000395,0.000000,0.000000,1.554180,1.000000
11,0.011000,0.000000,0.000613,0.000000,0.000000,1.745699,1.000000
12,0.012000,0.000001,0.000888,0.000000,0.000001,1.978319,1.000000
13,0.013000,0.000002,0.001226,0.000000,0.000002,2.283729,1.000000
14,0.014000,0.000003,0.001636,0.000000,0.000003,2.696347,1.000000
15,0.015000,0.000005,0.002129,0.000000,0.000005,3.054949,1.000000
16,0.016000,0.000008,0.002716,0.000000,0.000008,3.271028,1.000000
17,0.017000,0.000011,0.003409,0.000000,0.000011,3.423268,1.000000
18,0.018000,0.000016,0.004220,0.000000,0.000016,3.305341,1.000000
19,0.019000,0.000022,0.005165,0.000000,0.000022,2.726183,1.000000
20,0.020000,0.000031,0.006265,0.000000,0.000031,2.585451,1.000000
21,0.021000,0.000041,0.007546,0.000000,0.000041,2.631898,1.000000
22,0.022000,0.000054,0.009034,0.000000,0.000054,2.579790,1.000000
23,0.023000,0.000071,0.010746,0.000000,0.000071,2.302228,1.000000
24,0.024000,0.000091,0.012692,0.000000,0.000091,1.812287,1.000000
25,0.025000,0.000116,0.014867,0.000000,0.000116,1.419424,1.000000
26,0.026000,0.000147,0.017232,0.000000,0.000147,1.256198,1.000000
27,0.027000,0.000183,0.019769,0.000000,0.000183,1.199908,1.000000
28,0.028000,0.000227,0.022475,0.000000,0.000227,1.172357,1.000000
29,0.029000,0.000279,0.025347,0.000000,0.000279,1.144659,1.000000
30,0.030000,0.000339,0.028369,0.000000,0.000339,1.109366,1.000000
31,0.031000,0.000410,0.031508,0.000000,0.000410,1.066262,1.000000
32,0.032000,0.000493,0.034735,0.000000,0.000493,1.019258,1.000000
33,0.033000,0.000587,0.038033,0.000000,0.000587,0.969471,1.000000
34,0.034000,0.000696,0.041398,0.000000,0.000696,0.912772,1.000000
