step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
0,0.000000,0.000000,0.000000,0.000000,0.000000,4.032264,1.000000
1,0.001000,0.000000,0.000000,0.000000,0.000000,3.682087,1.000000
2,0.002000,0.000000,0.000000,0.000000,0.000000,3.160233,1.000000
3,0.003000,0.000000,0.000000,0.000000,0.000000,2.703189,1.000000
4,0.004000,0.000000,0.000000,0.000000,0.000000,2.336617,1.000000
5,0.005000,0.000000,0.000000,0.000000,0.000000,2.033828,1.000000
6,0.006000,0.000000,0.000000,0.000000,0.000000,1.758373,1.000000
7,0.007000,0.000000,0.000231,0.000000,0.000000,1.502302,1.000000
8,0.008000,0.000000,0.000733,0.000000,0.000000,1.266289,1.000000
9,0.009000,0.000000,0.001479,0.000000,0.000000,1.044401,1.000000
10,0.010000,0.000001,0.002429,0.000000,0.000001,0.832811,1.000000
11,0.011000,0.000003,0.003547,0.000000,0.000003,0.631939,1.000000
12,0.012000,0.000006,0.004806,0.000000,0.000006,0.444336,1.000000
13,0.013000,0.000011,0.006182,0.000000,0.000011,0.266538,1.000000
14,0.014000,0.000018,0.007653,0.000000,0.000018,0.104455,1.000000
15,0.015000,0.000028,0.009204,0.000000,0.000028,-0.045893,1.000000
16,0.016000,0.000041,0.010817,0.000000,0.000041,-0.184959,1.000000
17,0.017000,0.000058,0.012477,0.000000,0.000058,-0.313015,1.000000
18,0.018000,0.000080,0.014172,0.000000,0.000080,-0.430123,1.000000
19,0.019000,0.000106,0.015888,0.000000,0.000106,-0.536928,1.000000
20,0.020000,0.000139,0.017614,0.000000,0.000139,-0.633091,1.000000
21,0.021000,0.000178,0.019338,0.000000,0.000178,-0.720378,1.000000
22,0.022000,0.000223,0.021052,0.000000,0.000223,-0.798377,1.000000
23,0.023000,0.000277,0.022744,0.000000,0.000277,-0.867702,1.000000
24,0.024000,0.000338,0.024409,0.000000,0.000338,-0.928297,1.000000
25,0.025000,0.000408,0.026037,0.000000,0.000408,-0.981313,1.000000
26,0.026000,0.000488,0.027622,0.000000,0.000488,-1.027422,1.000000
27,0.027000,0.000577,0.029158,0.000000,0.000577,-1.067091,1.000000
28,0.028000,0.000677,0.030640,0.000000,0.000677,-1.100098,1.000000
29,0.029000,0.000788,0.032062,0.000000,0.000788,-1.127337,1.000000
30,0.030000,0.000910,0.033421,0.000000,0.000910,-1.149948,1.000000
31,0.031000,0.001044,0.034712,0.000000,0.001044,-1.167795,1.000000
32,0.032000,0.001190,0.035933,0.000000,0.001190,-1.181736,1.000000
33,0.033000,0.001348,0.037080,0.000000,0.001348,-1.192886,1.000000
34,0.034000,0.001520,0.038153,0.000000,0.001520,-1.201171,1.000000
35,0.035000,0.001705,0.039147,0.000000,0.001705,-1.206649,1.000000
36,0.036000,0.001903,0.040063,0.000000,0.001903,-1.209001,1.000000
37,0.037000,0.002115,0.040899,0.000000,0.002115,-1.207369,1.000000
38,0.038000,0.002342,0.041654,0.000000,0.002342,-1.202247,1.000000
39,0.039000,0.002582,0.042328,0.000000,0.002582,-1.194518,1.000000
40,0.040000,0.002837,0.042920,0.000000,0.002837,-1.183298,1.000000
41,0.041000,0.003106,0.043430,0.000000,0.003106,-1.170854,0.999999
42,0.042000,0.003390,0.043857,0.000000,0.003390,-1.154902,0.999999
43,0.043000,0.003689,0.044203,0.000000,0.003689,-1.135537,0.999999
44,0.044000,0.004002,0.044467,0.000000,0.004002,-1.112923,0.999999
45,0.045000,0.004330,0.044650,0.000000,0.004330,-1.088191,0.999999
46,0.046000,0.004672,0.044753,0.000000,0.004672,-1.060954,0.999999
47,0.047000,0.005029,0.044777,0.000000,0.005029,-1.030888,0.999999
48,0.048000,0.005400,0.044722,0.000000,0.005400,-0.998644,0.999999
49,0.049000,0.005786,0.044591,0.000000,0.005786,-0.964026,0.999998
50,0.050000,0.006185,0.044384,0.000000,0.006185,-0.926980,0.999998
51,0.051000,0.006598,0.044104,0.000000,0.006598,-0.888113,0.999998
52,0.052000,0.007025,0.043753,0.000000,0.007025,-0.847159,0.999998
53,0.053000,0.007464,0.043331,0.000000,0.007464,-0.804194,0.999998
54,0.054000,0.007917,0.042843,0.000000,0.007917,-0.759346,0.999997
55,0.055000,0.008382,0.042290,0.000000,0.008382,-0.712525,0.999997
56,0.056000,0.008859,0.041674,0.000000,0.008859,-0.664315,0.999997
57,0.057000,0.009348,0.040999,0.000000,0.009348,-0.614883,0.999997
58,0.058000,0.009848,0.040267,0.000000,0.009848,-0.564361,0.999996
59,0.059000,0.010359,0.039481,0.000000,0.010359,-0.512692,0.999996
60,0.060000,0.010880,0.038644,0.000000,0.010880,-0.460122,0.999996
61,0.061000,0.011411,0.037759,0.000000,0.011411,-0.406958,0.999995
62,0.062000,0.011951,0.036831,0.000000,0.011951,-0.353362,0.999995
63,0.063000,0.012500,0.035861,0.000000,0.012500,-0.299449,0.999995
64,0.064000,0.013057,0.034854,0.000000,0.013057,-0.245338,0.999994
65,0.065000,0.013622,0.033813,0.000000,0.013622,-0.191200,0.999994
66,0.066000,0.014194,0.032741,0.000000,0.014194,-0.137177,0.999993
67,0.067000,0.014772,0.031643,0.000000,0.014772,-0.083042,0.999993
68,0.068000,0.015356,0.030522,0.000000,0.015356,-0.029363,0.999992
69,0.069000,0.015945,0.029381,0.000000,0.015945,0.023802,0.999992
70,0.070000,0.016538,0.028225,0.000000,0.016538,0.076063,0.999991
71,0.071000,0.017135,0.027057,0.000000,0.017135,0.127614,0.999991
72,0.072000,0.017736,0.025880,0.000000,0.017736,0.178322,0.999990
73,0.073000,0.018339,0.024699,0.000000,0.018339,0.227518,0.999990
74,0.074000,0.018944,0.023518,0.000000,0.018944,0.275603,0.999989
75,0.075000,0.019549,0.022338,0.000000,0.019549,0.322437,0.999989
76,0.076000,0.020156,0.021166,0.000000,0.020156,0.368061,0.999988
77,0.077000,0.020762,0.020002,0.000000,0.020762,0.412345,0.999988
78,0.078000,0.021368,0.018853,0.000000,0.021368,0.455163,0.999987
79,0.079000,0.021972,0.017719,0.000000,0.021972,0.496394,0.999986
80,0.080000,0.022573,0.016606,0.000000,0.022573,0.535961,0.999986
81,0.081000,0.023173,0.015516,0.000000,0.023173,0.573799,0.999985
82,0.082000,0.023768,0.014451,0.000000,0.023768,0.609831,0.999985
83,0.083000,0.024360,0.013416,0.000000,0.024360,0.643986,0.999984
84,0.084000,0.024947,0.012413,0.000000,0.024947,0.676260,0.999983
85,0.085000,0.025529,0.011445,0.000000,0.025529,0.706568,0.999983
86,0.086000,0.026105,0.010514,0.000000,0.026105,0.734817,0.999982
87,0.087000,0.026675,0.009623,0.000000,0.026675,0.760982,0.999981
88,0.088000,0.027238,0.008775,0.000000,0.027238,0.785046,0.999981
89,0.089000,0.027793,0.007971,0.000000,0.027793,0.806982,0.999980
90,0.090000,0.028340,0.007215,0.000000,0.028340,0.826494,0.999980
91,0.091000,0.028880,0.006507,0.000000,0.028880,0.843580,0.999979
92,0.092000,0.029410,0.005850,0.000000,0.029410,0.858473,0.999978
93,0.093000,0.029931,0.005246,0.000000,0.029931,0.871166,0.999978
94,0.094000,0.030442,0.004695,0.000000,0.030442,0.881664,0.999977
95,0.095000,0.030943,0.004201,0.000000,0.030943,0.890276,0.999977
96,0.096000,0.031433,0.003763,0.000000,0.031433,0.896576,0.999976
97,0.097000,0.031912,0.003383,0.000000,0.031912,0.901037,0.999976
98,0.098000,0.032381,0.003063,0.000000,0.032381,0.904045,0.999975
99,0.099000,0.032838,0.002802,0.000000,0.032838,0.904815,0.999975
100,0.100000,0.033283,0.002602,0.000000,0.033283,0.903248,0.999974
101,0.101000,0.033716,0.002462,0.000000,0.033716,0.899049,0.999974
102,0.102000,0.034136,0.002384,0.000000,0.034136,0.892447,0.999973
103,0.103000,0.034545,0.002368,0.000000,0.034545,0.883740,0.999973
104,0.104000,0.034940,0.002414,0.000000,0.034940,0.872989,0.999972
105,0.105000,0.035323,0.002521,0.000000,0.035323,0.860265,0.999972
106,0.106000,0.035693,0.002690,0.000000,0.035693,0.845606,0.999971
107,0.107000,0.036051,0.002920,0.000000,0.036051,0.829079,0.999971
108,0.108000,0.036395,0.003211,0.000000,0.036395,0.810736,0.999970
109,0.109000,0.036726,0.003562,0.000000,0.036726,0.790667,0.999970
110,0.110000,0.037044,0.003973,0.000000,0.037044,0.768918,0.999970
111,0.111000,0.037349,0.004442,0.000000,0.037349,0.745584,0.999969
112,0.112000,0.037642,0.004969,0.000000,0.037642,0.720722,0.999969
113,0.113000,0.037921,0.005552,0.000000,0.037921,0.694424,0.999969
114,0.114000,0.038187,0.006190,0.000000,0.038187,0.666759,0.999968
115,0.115000,0.038441,0.006881,0.000000,0.038441,0.637817,0.999968
116,0.116000,0.038683,0.007625,0.000000,0.038683,0.607775,0.999968
117,0.117000,0.038912,0.008419,0.000000,0.038912,0.576740,0.999968
118,0.118000,0.039129,0.009262,0.000000,0.039129,0.544638,0.999967
119,0.119000,0.039334,0.010152,0.000000,0.039334,0.511575,0.999967
120,0.120000,0.039528,0.011087,0.000000,0.039528,0.477636,0.999967
121,0.121000,0.039710,0.012064,0.000000,0.039710,0.441946,0.999967
122,0.122000,0.039881,0.013083,0.000000,0.039881,0.405305,0.999967
123,0.123000,0.040042,0.014140,0.000000,0.040042,0.368268,0.999967
124,0.124000,0.040191,0.015234,0.000000,0.040191,0.330912,0.999966
125,0.125000,0.040331,0.016362,0.000000,0.040331,0.293288,0.999966
126,0.126000,0.040461,0.017521,0.000000,0.040461,0.255479,0.999966
127,0.127000,0.040582,0.018711,0.000000,0.040582,0.217288,0.999966
128,0.128000,0.040693,0.019927,0.000000,0.040693,0.178623,0.999966
129,0.129000,0.040796,0.021168,0.000000,0.040796,0.140114,0.999966
130,0.130000,0.040891,0.022430,0.000000,0.040891,0.101866,0.999966
131,0.131000,0.040978,0.023712,0.000000,0.040978,0.063936,0.999966
132,0.132000,0.041057,0.025010,0.000000,0.041057,0.026370,0.999966
133,0.133000,0.041130,0.026323,0.000000,0.041130,-0.011034,0.999966
134,0.134000,0.041196,0.027646,0.000000,0.041196,-0.048115,0.999966
135,0.135000,0.041257,0.028979,0.000000,0.041257,-0.084477,0.999965
136,0.136000,0.041311,0.030318,0.000000,0.041311,-0.119616,0.999965
137,0.137000,0.041361,0.031660,0.000000,0.041361,-0.153952,0.999965
138,0.138000,0.041406,0.033003,0.000000,0.041406,-0.187783,0.999965
139,0.139000,0.041447,0.034345,0.000000,0.041447,-0.220650,0.999965
140,0.140000,0.041484,0.035682,0.000000,0.041484,-0.252432,0.999965
141,0.141000,0.041518,0.037013,0.000000,0.041518,-0.283208,0.999965
142,0.142000,0.041549,0.038335,0.000000,0.041549,-0.312947,0.999965
143,0.143000,0.041578,0.039645,0.000000,0.041578,-0.341675,0.999965
144,0.144000,0.041606,0.040942,0.000000,0.041606,-0.369343,0.999965
145,0.145000,0.041631,0.042223,0.000000,0.041631,-0.395800,0.999965
146,0.146000,0.041657,0.043485,0.000000,0.041657,-0.420987,0.999965
147,0.147000,0.041681,0.044728,0.000000,0.041681,-0.444888,0.999965
148,0.148000,0.041706,0.045948,0.000000,0.041706,-0.467481,0.999965
149,0.149000,0.041731,0.047145,0.000000,0.041731,-0.488664,0.999965
150,0.150000,0.041757,0.048315,0.000000,0.041757,-0.508489,0.999965
151,0.151000,0.041784,0.049458,0.000000,0.041784,-0.526938,0.999965
152,0.152000,0.041813,0.050571,0.000000,0.041813,-0.544300,0.999965
153,0.153000,0.041844,0.051653,0.000000,0.041844,-0.560684,0.999964
154,0.154000,0.041878,0.052702,0.000000,0.041878,-0.575686,0.999964
155,0.155000,0.041914,0.053717,0.000000,0.041914,-0.589181,0.999964
156,0.156000,0.041954,0.054697,0.000000,0.041954,-0.601225,0.999964
157,0.157000,0.041997,0.055641,0.000000,0.041997,-0.611800,0.999964
158,0.158000,0.042044,0.056546,0.000000,0.042044,-0.620915,0.999964
159,0.159000,0.042095,0.057413,0.000000,0.042095,-0.628565,0.999964
160,0.160000,0.042150,0.058240,0.000000,0.042150,-0.634737,0.999964
161,0.161000,0.042211,0.059027,0.000000,0.042211,-0.639059,0.999963
162,0.162000,0.042276,0.059772,0.000000,0.042276,-0.641566,0.999963
163,0.163000,0.042347,0.060474,0.000000,0.042347,-0.642712,0.999963
164,0.164000,0.042423,0.061134,0.000000,0.042423,-0.642521,0.999963
165,0.165000,0.042505,0.061751,0.000000,0.042505,-0.640993,0.999963
166,0.166000,0.042592,0.062325,0.000000,0.042592,-0.638347,0.999962
167,0.167000,0.042686,0.062854,0.000000,0.042686,-0.635261,0.999962
168,0.168000,0.042786,0.063339,0.000000,0.042786,-0.630802,0.999962
169,0.169000,0.042892,0.063780,0.000000,0.042892,-0.624979,0.999962
170,0.170000,0.043005,0.064177,0.000000,0.043005,-0.618402,0.999961
171,0.171000,0.043124,0.064531,0.000000,0.043124,-0.610517,0.999961
172,0.172000,0.043250,0.064840,0.000000,0.043250,-0.601346,0.999961
173,0.173000,0.043383,0.065106,0.000000,0.043383,-0.590832,0.999960
174,0.174000,0.043523,0.065329,0.000000,0.043523,-0.579047,0.999960
175,0.175000,0.043669,0.065510,0.000000,0.043669,-0.566031,0.999960
176,0.176000,0.043822,0.065648,0.000000,0.043822,-0.551825,0.999959
177,0.177000,0.043982,0.065745,0.000000,0.043982,-0.536492,0.999959
178,0.178000,0.044149,0.065801,0.000000,0.044149,-0.520068,0.999959
179,0.179000,0.044322,0.065817,0.000000,0.044322,-0.502616,0.999958
180,0.180000,0.044502,0.065794,0.000000,0.044502,-0.484183,0.999958
181,0.181000,0.044689,0.065732,0.000000,0.044689,-0.464833,0.999957
182,0.182000,0.044882,0.065633,0.000000,0.044882,-0.444617,0.999957
183,0.183000,0.045081,0.065498,0.000000,0.045081,-0.423593,0.999956
184,0.184000,0.045287,0.065327,0.000000,0.045287,-0.401826,0.999956
185,0.185000,0.045499,0.065122,0.000000,0.045499,-0.379372,0.999956
186,0.186000,0.045717,0.064885,0.000000,0.045717,-0.356295,0.999955
187,0.187000,0.045940,0.064616,0.000000,0.045940,-0.332655,0.999955
