step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
0,0.000000,-4.650385,2.725115,17.682226,-22.332611,106.894890,0.806351
1,0.001000,-4.647820,2.728087,17.682226,-22.330046,112.238373,0.792271
2,0.002000,-4.642691,2.735923,17.682226,-22.324917,112.151054,0.774831
3,0.003000,-4.634995,2.749624,17.682226,-22.317221,112.114334,0.769041
4,0.004000,-4.624731,2.769770,17.682226,-22.306957,112.115387,0.785791
5,0.005000,-4.611895,2.796718,17.682226,-22.294121,112.116791,0.784961
6,0.006000,-4.596481,2.830694,17.682226,-22.278707,112.119057,1.459534
7,0.007000,-4.578482,2.871844,17.682226,-22.260708,112.122826,0.901109
8,0.008000,-4.557890,2.920262,17.682226,-22.240116,112.130241,0.776011
9,0.009000,-4.534693,2.976006,17.682226,-22.216919,112.142540,0.787651
10,0.010000,-4.508879,3.039113,17.682226,-22.191105,112.162529,0.813250
11,0.011000,-4.480435,3.109605,17.682226,-22.162661,112.187546,0.793641
12,0.012000,-4.449344,3.187496,17.682226,-22.131570,112.215622,0.819421
13,0.013000,-4.415587,3.272791,17.682226,-22.097813,112.249657,1.010298
14,0.014000,-4.379147,3.365492,17.682226,-22.061373,112.282936,1.122688
15,0.015000,-4.340000,3.465599,17.682226,-22.022226,112.287399,0.993468
16,0.016000,-4.298125,3.573107,17.682226,-21.980351,111.789818,0.883640
17,0.017000,-4.253496,3.687982,17.682226,-21.935722,101.123367,0.780661
18,0.018000,-4.206087,3.809596,17.682226,-21.888313,65.246170,0.790101
19,0.019000,-4.155869,3.935728,17.682226,-21.838095,38.715546,0.786981
20,0.020000,-4.102813,4.064296,17.682226,-21.785039,21.849499,0.789360
21,0.021000,-4.046891,4.193873,17.682226,-21.729117,9.185375,0.777531
22,0.022000,-3.988075,4.323483,17.682226,-21.670301,2.914453,0.778781
23,0.023000,-3.926337,4.452650,17.682226,-21.608563,-1.801375,0.774031
24,0.024000,-3.861652,4.581111,17.682226,-21.543878,-7.126428,0.761472
25,0.025000,-3.793993,4.708605,17.682226,-21.476219,-13.784141,0.774301
26,0.026000,-3.723339,4.834775,17.682226,-21.405565,-21.512974,0.778441
27,0.027000,-3.649667,4.959167,17.682226,-21.331893,-30.308779,0.784981
28,0.028000,-3.572957,5.081229,17.682226,-21.255183,-37.946205,0.790291
29,0.029000,-3.493189,5.200448,17.682226,-21.175415,-46.891426,0.771972
30,0.030000,-3.410349,5.316250,17.682226,-21.092575,-56.164993,0.785661
31,0.031000,-3.324422,5.428025,17.682226,-21.006648,-64.992195,0.775771
32,0.032000,-3.235396,5.535182,17.682226,-20.917622,-73.156563,0.773871
33,0.033000,-3.143262,5.637175,17.682226,-20.825488,-79.653999,1.001478
34,0.034000,-3.048016,5.733566,17.682226,-20.730242,-85.047050,0.807051
35,0.035000,-2.949653,5.824013,17.682226,-20.631879,-91.129364,0.869150
36,0.036000,-2.848174,5.908150,17.682226,-20.530400,-93.450371,0.784081
37,0.037000,-2.743583,5.985822,17.682226,-20.425809,-93.311264,0.799491
38,0.038000,-2.635887,6.057061,17.682226,-20.318113,-92.361443,0.777121
39,0.039000,-2.525097,6.121990,17.682226,-20.207323,-91.338234,0.774421
40,0.040000,-2.411226,6.180744,17.682226,-20.093452,-89.626427,0.774541
41,0.041000,-2.294292,6.233490,17.682226,-19.976518,-87.108681,0.766182
