step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
0,0.000000,0.000000,0.000000,0.000000,0.000000,3.699507,1.000000
1,0.001000,0.000000,0.000000,0.000000,0.000000,3.612315,1.000000
2,0.002000,0.000000,0.000000,0.000000,0.000000,3.432228,1.000000
3,0.003000,0.000000,0.000000,0.000000,0.000000,3.188585,1.000000
4,0.004000,0.000000,0.000000,0.000000,0.000000,2.904903,1.000000
5,0.005000,0.000000,0.000000,0.000000,0.000000,2.597918,1.000000
6,0.006000,0.000000,0.000000,0.000000,0.000000,2.302004,1.000000
7,0.007000,0.000000,0.000212,0.000000,0.000000,2.020291,1.000000
8,0.008000,0.000000,0.000686,0.000000,0.000000,1.758975,1.000000
9,0.009000,0.000000,0.001417,0.000000,0.000000,1.521315,1.000000
10,0.010000,0.000001,0.002385,0.000000,0.000001,1.307277,1.000000
11,0.011000,0.000003,0.003563,0.000000,0.000003,1.111500,1.000000
12,0.012000,0.000006,0.004923,0.000000,0.000006,0.933125,1.000000
13,0.013000,0.000011,0.006440,0.000000,0.000011,0.773762,1.000000
14,0.014000,0.000018,0.008090,0.000000,0.000018,0.631866,1.000000
15,0.015000,0.000028,0.009853,0.000000,0.000028,0.506907,1.000000
16,0.016000,0.000042,0.011711,0.000000,0.000042,0.394720,1.000000
17,0.017000,0.000059,0.013649,0.000000,0.000059,0.292827,1.000000
18,0.018000,0.000082,0.015653,0.000000,0.000082,0.196023,1.000000
19,0.019000,0.000111,0.017710,0.000000,0.000111,0.101702,1.000000
20,0.020000,0.000146,0.019810,0.000000,0.000146,0.010610,1.000000
21,0.021000,0.000188,0.021944,0.000000,0.000188,-0.077533,1.000000
22,0.022000,0.000238,0.024102,0.000000,0.000238,-0.162219,1.000000
23,0.023000,0.000296,0.026279,0.000000,0.000296,-0.243242,1.000000
24,0.024000,0.000364,0.028467,0.000000,0.000364,-0.322340,1.000000
25,0.025000,0.000442,0.030660,0.000000,0.000442,-0.397843,1.000000
26,0.026000,0.000532,0.032853,0.000000,0.000532,-0.469850,1.000000
27,0.027000,0.000633,0.035040,0.000000,0.000633,-0.537033,1.000000
28,0.028000,0.000746,0.037214,0.000000,0.000746,-0.599846,1.000000
29,0.029000,0.000873,0.039371,0.000000,0.000873,-0.658765,1.000000
30,0.030000,0.001013,0.041505,0.000000,0.001013,-0.712700,1.000000
31,0.031000,0.001169,0.043612,0.000000,0.001169,-0.764113,1.000000
32,0.032000,0.001340,0.045685,0.000000,0.001340,-0.811210,1.000000
33,0.033000,0.001526,0.047722,0.000000,0.001526,-0.855650,1.000000
34,0.034000,0.001730,0.049716,0.000000,0.001730,-0.896972,1.000000
35,0.035000,0.001951,0.051665,0.000000,0.001951,-0.934829,1.000000
36,0.036000,0.002190,0.053564,0.000000,0.002190,-0.968068,1.000000
37,0.037000,0.002448,0.055410,0.000000,0.002448,-0.998694,1.000000
38,0.038000,0.002725,0.057201,0.000000,0.002725,-1.027225,0.999999
39,0.039000,0.003021,0.058932,0.000000,0.003021,-1.052721,0.999999
40,0.040000,0.003338,0.060601,0.000000,0.003338,-1.076143,0.999999
41,0.041000,0.003676,0.062206,0.000000,0.003676,-1.097410,0.999999
42,0.042000,0.004034,0.063744,0.000000,0.004034,-1.116374,0.999999
43,0.043000,0.004415,0.065214,0.000000,0.004415,-1.133032,0.999999
44,0.044000,0.004817,0.066614,0.000000,0.004817,-1.146549,0.999999
45,0.045000,0.005242,0.067941,0.000000,0.005242,-1.157567,0.999998
46,0.046000,0.005689,0.069195,0.000000,0.005689,-1.165277,0.999998
47,0.047000,0.006159,0.070374,0.000000,0.006159,-1.169256,0.999998
48,0.048000,0.006653,0.071477,0.000000,0.006653,-1.171176,0.999998
49,0.049000,0.007170,0.072503,0.000000,0.007170,-1.169681,0.999997
50,0.050000,0.007710,0.073451,0.000000,0.007710,-1.166553,0.999997
51,0.051000,0.008274,0.074321,0.000000,0.008274,-1.161886,0.999997
52,0.052000,0.008862,0.075111,0.000000,0.008862,-1.155497,0.999996
53,0.053000,0.009474,0.075823,0.000000,0.009474,-1.147152,0.999996
54,0.054000,0.010110,0.076455,0.000000,0.010110,-1.136877,0.999995
55,0.055000,0.010769,0.077008,0.000000,0.010769,-1.125484,0.999995
56,0.056000,0.011453,0.077482,0.000000,0.011453,-1.112989,0.999994
57,0.057000,0.012160,0.077878,0.000000,0.012160,-1.099451,0.999994
58,0.058000,0.012890,0.078196,0.000000,0.012890,-1.084136,0.999993
59,0.059000,0.013644,0.078437,0.000000,0.013644,-1.068563,0.999992
60,0.060000,0.014422,0.078602,0.000000,0.014422,-1.051393,0.999992
61,0.061000,0.015222,0.078692,0.000000,0.015222,-1.033409,0.999991
62,0.062000,0.016045,0.078707,0.000000,0.016045,-1.014336,0.999990
63,0.063000,0.016890,0.078649,0.000000,0.016890,-0.993921,0.999989
64,0.064000,0.017757,0.078520,0.000000,0.017757,-0.971010,0.999988
65,0.065000,0.018646,0.078319,0.000000,0.018646,-0.946621,0.999987
66,0.066000,0.019556,0.078049,0.000000,0.019556,-0.920783,0.999986
67,0.067000,0.020487,0.077710,0.000000,0.020487,-0.892313,0.999985
68,0.068000,0.021438,0.077305,0.000000,0.021438,-0.861228,0.999984
69,0.069000,0.022409,0.076835,0.000000,0.022409,-0.825531,0.999982
70,0.070000,0.023399,0.076301,0.000000,0.023399,-0.789083,0.999981
71,0.071000,0.024408,0.075704,0.000000,0.024408,-0.750650,0.999980
72,0.072000,0.025435,0.075048,0.000000,0.025435,-0.712172,0.999978
73,0.073000,0.026479,0.074334,0.000000,0.026479,-0.673273,0.999977
74,0.074000,0.027539,0.073563,0.000000,0.027539,-0.634233,0.999975
75,0.075000,0.028616,0.072738,0.000000,0.028616,-0.595410,0.999973
76,0.076000,0.029708,0.071862,0.000000,0.029708,-0.556216,0.999972
77,0.077000,0.030815,0.070937,0.000000,0.030815,-0.514903,0.999970
78,0.078000,0.031935,0.069967,0.000000,0.031935,-0.471031,0.999968
79,0.079000,0.033069,0.068953,0.000000,0.033069,-0.425565,0.999966
80,0.080000,0.034215,0.067899,0.000000,0.034215,-0.378922,0.999964
81,0.081000,0.035372,0.066807,0.000000,0.035372,-0.332003,0.999962
82,0.082000,0.036539,0.065680,0.000000,0.036539,-0.287590,0.999960
83,0.083000,0.037716,0.064521,0.000000,0.037716,-0.245589,0.999957
84,0.084000,0.038902,0.063333,0.000000,0.038902,-0.205513,0.999955
85,0.085000,0.040096,0.062119,0.000000,0.040096,-0.166805,0.999953
86,0.086000,0.041296,0.060881,0.000000,0.041296,-0.130207,0.999950
87,0.087000,0.042503,0.059624,0.000000,0.042503,-0.094840,0.999948
88,0.088000,0.043715,0.058350,0.000000,0.043715,-0.061449,0.999945
89,0.089000,0.044931,0.057062,0.000000,0.044931,-0.027827,0.999943
90,0.090000,0.046150,0.055764,0.000000,0.046150,0.005521,0.999940
