step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
0,0.000000,0.000000,-0.000462,0.000000,0.000000,-8.063602,1.000000
1,0.001000,-0.000000,-0.001484,0.000000,-0.000000,-7.680533,1.000000
2,0.002000,-0.000001,-0.003046,0.000000,-0.000001,-7.167214,1.000000
3,0.003000,-0.000003,-0.005100,0.000000,-0.000003,-6.606810,1.000000
4,0.004000,-0.000006,-0.007587,0.000000,-0.000006,-6.024821,1.000000
5,0.005000,-0.000013,-0.010453,0.000000,-0.000013,-5.428278,1.000000
6,0.006000,-0.000023,-0.013647,0.000000,-0.000023,-4.819100,1.000000
7,0.007000,-0.000038,-0.017119,0.000000,-0.000038,-4.198399,1.000000
8,0.008000,-0.000060,-0.020820,0.000000,-0.000060,-3.567701,1.000000
9,0.009000,-0.000088,-0.024704,0.000000,-0.000088,-2.929151,1.000000
10,0.010000,-0.000126,-0.028724,0.000000,-0.000126,-2.285445,1.000000
11,0.011000,-0.000175,-0.032836,0.000000,-0.000175,-1.639701,1.000000
12,0.012000,-0.000235,-0.036994,0.000000,-0.000235,-0.995331,1.000000
13,0.013000,-0.000308,-0.041155,0.000000,-0.000308,-0.355954,1.000000
14,0.014000,-0.000397,-0.045276,0.000000,-0.000397,0.274705,1.000000
15,0.015000,-0.000501,-0.049315,0.000000,-0.000501,0.892870,1.000000
16,0.016000,-0.000624,-0.053232,0.000000,-0.000624,1.494749,1.000000
17,0.017000,-0.000765,-0.056987,0.000000,-0.000765,2.076601,1.000000
18,0.018000,-0.000927,-0.060543,0.000000,-0.000927,2.634766,1.000000
19,0.019000,-0.001111,-0.063865,0.000000,-0.001111,3.165693,1.000000
20,0.020000,-0.001317,-0.066921,0.000000,-0.001317,3.665972,1.000000
21,0.021000,-0.001547,-0.069680,0.000000,-0.001547,4.132385,1.000000
22,0.022000,-0.001802,-0.072115,0.000000,-0.001802,4.561894,1.000000
23,0.023000,-0.002083,-0.074199,0.000000,-0.002083,4.951710,1.000000
24,0.024000,-0.002389,-0.075911,0.000000,-0.002389,5.299271,1.000000
25,0.025000,-0.002722,-0.077233,0.000000,-0.002722,5.602318,1.000000
26,0.026000,-0.003083,-0.078148,0.000000,-0.003083,5.858856,1.000000
27,0.027000,-0.003470,-0.078645,0.000000,-0.003470,6.067218,1.000000
28,0.028000,-0.003885,-0.078713,0.000000,-0.003885,6.226059,1.000000
29,0.029000,-0.004327,-0.078349,0.000000,-0.004327,6.334372,1.000000
30,0.030000,-0.004795,-0.077550,0.000000,-0.004795,6.391503,1.000000
31,0.031000,-0.005290,-0.076317,0.000000,-0.005290,6.397168,0.999999
32,0.032000,-0.005811,-0.074655,0.000000,-0.005811,6.351427,0.999999
33,0.033000,-0.006357,-0.072574,0.000000,-0.006357,6.254722,0.999999
34,0.034000,-0.006926,-0.070084,0.000000,-0.006926,6.107861,0.999999
35,0.035000,-0.007518,-0.067202,0.000000,-0.007518,5.912007,0.999999
36,0.036000,-0.008132,-0.063945,0.000000,-0.008132,5.668686,0.999999
37,0.037000,-0.008766,-0.060335,0.000000,-0.008766,5.379761,0.999998
38,0.038000,-0.009418,-0.056396,0.000000,-0.009418,5.047433,0.999998
39,0.039000,-0.010088,-0.052154,0.000000,-0.010088,4.674216,0.999998
40,0.040000,-0.010772,-0.047640,0.000000,-0.010772,4.262923,0.999998
41,0.041000,-0.011469,-0.042885,0.000000,-0.011469,3.816636,0.999997
42,0.042000,-0.012178,-0.037923,0.000000,-0.012178,3.338694,0.999997
43,0.043000,-0.012895,-0.032788,0.000000,-0.012895,2.832662,0.999997
44,0.044000,-0.013619,-0.027518,0.000000,-0.013619,2.302299,0.999996
45,0.045000,-0.014349,-0.022151,0.000000,-0.014349,1.751544,0.999996
46,0.046000,-0.015080,-0.016727,0.000000,-0.015080,1.184462,0.999995
47,0.047000,-0.015812,-0.011284,0.000000,-0.015812,0.605247,0.999995
48,0.048000,-0.016542,-0.005864,0.000000,-0.016542,0.018160,0.999995
49,0.049000,-0.017267,-0.000506,0.000000,-0.017267,-0.572477,0.999994
50,0.050000,-0.017986,0.004750,0.000000,-0.017986,-1.162331,0.999994
51,0.051000,-0.018696,0.009865,0.000000,-0.018696,-1.747065,0.999993
52,0.052000,-0.019395,0.014798,0.000000,-0.019395,-2.322401,0.999992
53,0.053000,-0.020081,0.019514,0.000000,-0.020081,-2.884104,0.999992
54,0.054000,-0.020753,0.023976,0.000000,-0.020753,-3.428055,0.999991
55,0.055000,-0.021407,0.028148,0.000000,-0.021407,-3.950251,0.999991
56,0.056000,-0.022043,0.032000,0.000000,-0.022043,-4.446835,0.999990
57,0.057000,-0.022659,0.035499,0.000000,-0.022659,-4.914128,0.999990
58,0.058000,-0.023253,0.038618,0.000000,-0.023253,-5.348643,0.999989
59,0.059000,-0.023824,0.041331,0.000000,-0.023824,-5.747130,0.999989
60,0.060000,-0.024371,0.043616,0.000000,-0.024371,-6.106565,0.999988
61,0.061000,-0.024892,0.045452,0.000000,-0.024892,-6.424205,0.999988
62,0.062000,-0.025387,0.046823,0.000000,-0.025387,-6.697583,0.999987
63,0.063000,-0.025855,0.047714,0.000000,-0.025855,-6.924539,0.999987
64,0.064000,-0.026296,0.048117,0.000000,-0.026296,-7.103232,0.999986
65,0.065000,-0.026709,0.048024,0.000000,-0.026709,-7.232154,0.999986
66,0.066000,-0.027094,0.047431,0.000000,-0.027094,-7.310150,0.999985
67,0.067000,-0.027451,0.046340,0.000000,-0.027451,-7.336414,0.999985
68,0.068000,-0.027781,0.044753,0.000000,-0.027781,-7.310526,0.999985
69,0.069000,-0.028083,0.042678,0.000000,-0.028083,-7.232424,0.999984
70,0.070000,-0.028360,0.040127,0.000000,-0.028360,-7.102421,0.999984
71,0.071000,-0.028610,0.037112,0.000000,-0.028610,-6.921222,0.999984
72,0.072000,-0.028836,0.033653,0.000000,-0.028836,-6.689903,0.999983
73,0.073000,-0.029038,0.029770,0.000000,-0.029038,-6.409898,0.999983
74,0.074000,-0.029219,0.025486,0.000000,-0.029219,-6.083025,0.999983
75,0.075000,-0.029378,0.020830,0.000000,-0.029378,-5.711429,0.999983
76,0.076000,-0.029519,0.015830,0.000000,-0.029519,-5.297610,0.999983
77,0.077000,-0.029642,0.010519,0.000000,-0.029642,-4.844388,0.999982
78,0.078000,-0.029750,0.004931,0.000000,-0.029750,-4.354870,0.999982
79,0.079000,-0.029845,-0.000896,0.000000,-0.029845,-3.832451,0.999982
80,0.080000,-0.029928,-0.006924,0.000000,-0.029928,-3.280771,0.999982
81,0.081000,-0.030002,-0.013113,0.000000,-0.030002,-2.703710,0.999982
82,0.082000,-0.030069,-0.019422,0.000000,-0.030069,-2.105324,0.999982
83,0.083000,-0.030132,-0.025808,0.000000,-0.030132,-1.489859,0.999982
84,0.084000,-0.030192,-0.032228,0.000000,-0.030192,-0.861694,0.999982
85,0.085000,-0.030252,-0.038638,0.000000,-0.030252,-0.225303,0.999982
86,0.086000,-0.030314,-0.044995,0.000000,-0.030314,0.414762,0.999982
87,0.087000,-0.030381,-0.051255,0.000000,-0.030381,1.053901,0.999982
88,0.088000,-0.030455,-0.057377,0.000000,-0.030455,1.687500,0.999981
89,0.089000,-0.030538,-0.063317,0.000000,-0.030538,2.310987,0.999981
90,0.090000,-0.030631,-0.069035,0.000000,-0.030631,2.919838,0.999981
91,0.091000,-0.030738,-0.074492,0.000000,-0.030738,3.509606,0.999981
92,0.092000,-0.030860,-0.079650,0.000000,-0.030860,4.075985,0.999981
93,0.093000,-0.031000,-0.084473,0.000000,-0.031000,4.614798,0.999981
94,0.094000,-0.031157,-0.088930,0.000000,-0.031157,5.122062,0.999981
95,0.095000,-0.031335,-0.092988,0.000000,-0.031335,5.593999,0.999980
96,0.096000,-0.031534,-0.096620,0.000000,-0.031534,6.027068,0.999980
97,0.097000,-0.031757,-0.099802,0.000000,-0.031757,6.417984,0.999980
98,0.098000,-0.032003,-0.102510,0.000000,-0.032003,6.763756,0.999979
99,0.099000,-0.032274,-0.104728,0.000000,-0.032274,7.061722,0.999979
100,0.100000,-0.032570,-0.106440,0.000000,-0.032570,7.309531,0.999979
101,0.101000,-0.032893,-0.107635,0.000000,-0.032893,7.505199,0.999978
102,0.102000,-0.033242,-0.108306,0.000000,-0.033242,7.647108,0.999978
103,0.103000,-0.033617,-0.108448,0.000000,-0.033617,7.734035,0.999977
104,0.104000,-0.034019,-0.108061,0.000000,-0.034019,7.765150,0.999977
105,0.105000,-0.034446,-0.107150,0.000000,-0.034446,7.740039,0.999976
106,0.106000,-0.034899,-0.105723,0.000000,-0.034899,7.658699,0.999976
107,0.107000,-0.035377,-0.103790,0.000000,-0.035377,7.521545,0.999975
108,0.108000,-0.035879,-0.101368,0.000000,-0.035879,7.329418,0.999974
109,0.109000,-0.036404,-0.098474,0.000000,-0.036404,7.083562,0.999973
110,0.110000,-0.036951,-0.095130,0.000000,-0.036951,6.785632,0.999973
111,0.111000,-0.037517,-0.091364,0.000000,-0.037517,6.437675,0.999972
112,0.112000,-0.038102,-0.087203,0.000000,-0.038102,6.042106,0.999971
113,0.113000,-0.038704,-0.082678,0.000000,-0.038704,5.601723,0.999970
114,0.114000,-0.039322,-0.077825,0.000000,-0.039322,5.119633,0.999969
115,0.115000,-0.039952,-0.072680,0.000000,-0.039952,4.599275,0.999968
116,0.116000,-0.040592,-0.067283,0.000000,-0.040592,4.044365,0.999967
117,0.117000,-0.041242,-0.061673,0.000000,-0.041242,3.458872,0.999966
118,0.118000,-0.041898,-0.055894,0.000000,-0.041898,2.847002,0.999965
119,0.119000,-0.042558,-0.049989,0.000000,-0.042558,2.213135,0.999964
120,0.120000,-0.043219,-0.044004,0.000000,-0.043219,1.561828,0.999963
121,0.121000,-0.043880,-0.037983,0.000000,-0.043880,0.897739,0.999961
122,0.122000,-0.044537,-0.031974,0.000000,-0.044537,0.225636,0.999960
123,0.123000,-0.045189,-0.026022,0.000000,-0.045189,-0.449661,0.999959
124,0.124000,-0.045832,-0.020172,0.000000,-0.045832,-1.123310,0.999958
125,0.125000,-0.046465,-0.014470,0.000000,-0.046465,-1.790491,0.999957
126,0.126000,-0.047085,-0.008959,0.000000,-0.047085,-2.446424,0.999956
127,0.127000,-0.047690,-0.003683,0.000000,-0.047690,-3.086401,0.999955
128,0.128000,-0.048278,0.001317,0.000000,-0.048278,-3.705822,0.999953
129,0.129000,-0.048846,0.006002,0.000000,-0.048846,-4.300226,0.999952
130,0.130000,-0.049393,0.010335,0.000000,-0.049393,-4.865325,0.999951
131,0.131000,-0.049918,0.014281,0.000000,-0.049918,-5.397017,0.999950
132,0.132000,-0.050417,0.017807,0.000000,-0.050417,-5.891430,0.999949
133,0.133000,-0.050891,0.020885,0.000000,-0.050891,-6.344927,0.999948
134,0.134000,-0.051337,0.023489,0.000000,-0.051337,-6.754156,0.999947
135,0.135000,-0.051754,0.025596,0.000000,-0.051754,-7.116056,0.999946
136,0.136000,-0.052142,0.027187,0.000000,-0.052142,-7.427884,0.999946
137,0.137000,-0.052500,0.028246,0.000000,-0.052500,-7.687233,0.999945
138,0.138000,-0.052827,0.028761,0.000000,-0.052827,-7.892056,0.999944
139,0.139000,-0.053123,0.028725,0.000000,-0.053123,-8.040679,0.999944
140,0.140000,-0.053388,0.028133,0.000000,-0.053388,-8.131820,0.999943
141,0.141000,-0.053622,0.026986,0.000000,-0.053622,-8.164596,0.999942
142,0.142000,-0.053825,0.025288,0.000000,-0.053825,-8.138545,0.999942
143,0.143000,-0.053998,0.023047,0.000000,-0.053998,-8.053611,0.999942
144,0.144000,-0.054141,0.020274,0.000000,-0.054141,-7.910178,0.999941
145,0.145000,-0.054256,0.016986,0.000000,-0.054256,-7.709042,0.999941
146,0.146000,-0.054344,0.013203,0.000000,-0.054344,-7.451430,0.999941
147,0.147000,-0.054406,0.008948,0.000000,-0.054406,-7.138988,0.999941
148,0.148000,-0.054443,0.004247,0.000000,-0.054443,-6.773768,0.999941
149,0.149000,-0.054457,-0.000870,0.000000,-0.054457,-6.358214,0.999941
150,0.150000,-0.054451,-0.006368,0.000000,-0.054451,-5.895145,0.999941
151,0.151000,-0.054426,-0.012212,0.000000,-0.054426,-5.387759,0.999941
152,0.152000,-0.054384,-0.018363,0.000000,-0.054384,-4.839572,0.999941
153,0.153000,-0.054327,-0.024779,0.000000,-0.054327,-4.254419,0.999941
154,0.154000,-0.054258,-0.031419,0.000000,-0.054258,-3.636407,0.999941
155,0.155000,-0.054180,-0.038236,0.000000,-0.054180,-2.989910,0.999941
156,0.156000,-0.054094,-0.045184,0.000000,-0.054094,-2.319513,0.999941
157,0.157000,-0.054004,-0.052215,0.000000,-0.054004,-1.629989,0.999942
158,0.158000,-0.053911,-0.059283,0.000000,-0.053911,-0.926261,0.999942
159,0.159000,-0.053820,-0.066336,0.000000,-0.053820,-0.213372,0.999942
160,0.160000,-0.053731,-0.073328,0.000000,-0.053731,0.503564,0.999942
161,0.161000,-0.053648,-0.080208,0.000000,-0.053648,1.219384,0.999942
162,0.162000,-0.053573,-0.086930,0.000000,-0.053573,1.928919,0.999943
163,0.163000,-0.053509,-0.093447,0.000000,-0.053509,2.627030,0.999943
164,0.164000,-0.053458,-0.099712,0.000000,-0.053458,3.308645,0.999943
165,0.165000,-0.053423,-0.105682,0.000000,-0.053423,3.968795,0.999943
166,0.166000,-0.053405,-0.111315,0.000000,-0.053405,4.602647,0.999943
167,0.167000,-0.053407,-0.116571,0.000000,-0.053407,5.205513,0.999943
168,0.168000,-0.053430,-0.121413,0.000000,-0.053430,5.772950,0.999943
169,0.169000,-0.053477,-0.125806,0.000000,-0.053477,6.300709,0.999943
170,0.170000,-0.053548,-0.129721,0.000000,-0.053548,6.784829,0.999943
171,0.171000,-0.053646,-0.133128,0.000000,-0.053646,7.221631,0.999942
172,0.172000,-0.053772,-0.136003,0.000000,-0.053772,7.607765,0.999942
173,0.173000,-0.053926,-0.138327,0.000000,-0.053926,7.940229,0.999942
174,0.174000,-0.054109,-0.140082,0.000000,-0.054109,8.216391,0.999941
175,0.175000,-0.054322,-0.141257,0.000000,-0.054322,8.434025,0.999941
176,0.176000,-0.054565,-0.141842,0.000000,-0.054565,8.591311,0.999940
177,0.177000,-0.054839,-0.141833,0.000000,-0.054839,8.686875,0.999940
178,0.178000,-0.055142,-0.141231,0.000000,-0.055142,8.719781,0.999939
179,0.179000,-0.055476,-0.140041,0.000000,-0.055476,8.689567,0.999938
180,0.180000,-0.055839,-0.138271,0.000000,-0.055839,8.596229,0.999938
181,0.181000,-0.056230,-0.135934,0.000000,-0.056230,8.440240,0.999937
