wall_time_s,controller_clock_s,fault_code,armed,stop_request,policy_output_numeric,heartbeat,raw_candidate,statusword,controlword,drive_state_internal,mode_command,actual_torque_raw,ethercat_init,safe_command_raw,pre_integer_command_raw,pdo_command_int16_raw,mapping_error_raw,q_link_rad,dq_link_rad_s,theta_joint_rad,dtheta_joint_rad_s,external_target_rad,policy_target_rad
0.0419593,0,0,0,0,-124.223159790039,19,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.072687,0,0,0,0,-42.8141632080078,61,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.107367,0,0,0,0,-2.70420980453491,90,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1456512,0,0,0,0,-0.44704258441925,136,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1855223,0,0,0,0,-0.421389698982239,165,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2195395,0,0,0,0,-0.419763684272766,207,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.243481,0,0,0,0,-0.419736981391907,235,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2709792,0,0,0,0,-0.419735074043274,262,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3006873,0,0,0,0,-0.419735074043274,292,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3274858,0,0,0,0,-0.419735074043274,316,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3571811,0,0,0,0,-0.419735074043274,344,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3955563,0,0,0,0,-0.419735074043274,376,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4272314,0,0,0,0,-0.419735074043274,412,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4661827,0,0,0,0,-0.419735074043274,457,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4964733,0,0,0,0,-0.419735074043274,487,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.5342564,0,0,0,0,-0.419735074043274,517,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.5701417,0,0,0,0,-0.419735074043274,554,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6071549,0,0,0,0,-0.419735074043274,587,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6348283,0,0,0,0,-0.419735074043274,626,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6589381,0,0,0,0,-0.419735074043274,651,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6860075,0,0,0,0,-0.419735074043274,675,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.726302,0,0,0,0,-0.419735074043274,705,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.7529326,0,0,0,0,-0.419735074043274,742,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.7855948,0,0,0,0,-0.419735074043274,768,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.8129984,0,0,0,0,-0.419735074043274,801,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.8417697,0,0,0,0,-0.419735074043274,827,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.8655341,0,0,0,0,-0.419735074043274,856,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.896553,0,0,0,0,-0.419735074043274,881,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.9350129,0,0,0,0,-0.419735074043274,911,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.9779281,0,0,0,0,-0.419735074043274,962,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.0162429,0,0,0,0,-0.419735074043274,1006,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.0508556,0,0,0,0,-0.419735074043274,1037,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.0785445,0,0,0,0,-0.419735074043274,1067,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.1200474,0,0,0,0,-0.419735074043274,1097,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.1595082,0,0,0,0,-0.419735074043274,1135,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.1868646,0,0,0,0,-0.419735074043274,1177,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.2458116,0,0,0,0,-0.419735074043274,1212,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.2720688,0,0,0,0,-0.419735074043274,1261,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.2989152,0,0,0,0,-0.419735074043274,1287,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.3317289,0,0,0,0,-0.419735074043274,1313,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.3619498,0,0,0,0,-0.419735074043274,1346,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.3872164,0,0,0,0,-0.419735074043274,1376,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.4230138,0,0,0,0,-0.419735074043274,1402,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.4577266,0,0,0,0,-0.419735074043274,1440,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.4877407,0,0,0,0,-0.419735074043274,1473,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.5250169,0,0,0,0,-0.419735074043274,1503,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.5546483,0,0,0,0,-0.419735074043274,1543,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.5866225,0,0,0,0,-0.419735074043274,1574,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.6149793,0,0,0,0,-0.419735074043274,1605,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.6489192,0,0,0,0,-0.419735074043274,1639,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.6765732,0,0,0,0,-0.419735074043274,1667,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.7151454,0,0,0,0,-0.419735074043274,1701,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.754473,0,0,0,0,-0.419735074043274,1737,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.7851751,0,0,0,0,-0.419735074043274,1770,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.809439,0,0,0,0,-0.419735074043274,1801,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.8512867,0,0,0,0,-0.419735074043274,1833,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.9029437,0,0,0,0,-0.419735074043274,1881,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.9377798,0,0,0,0,-0.419735074043274,1925,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.9626901,0,0,0,0,-0.419735074043274,1953,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1.9873323,0,0,0,0,-0.419735074043274,1977,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.0239303,0,0,0,0,-0.419735074043274,2009,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.0615042,0,0,0,0,-0.419735074043274,2049,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.0974285,0,0,0,0,-0.419735074043274,2079,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.1375326,0,0,0,0,-0.419735074043274,2125,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.1685502,0,0,0,0,-0.419735074043274,2154,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.1964762,0,0,0,0,-0.419735074043274,2185,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2.2257505,0,0,0,0,-0.419735074043274,2212,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
