step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
0,0.000000,-4.650385,2.725115,17.682226,-22.332611,102.292244,1.220986
1,0.001000,-4.647820,2.727823,17.682226,-22.330046,102.285583,0.794340
2,0.002000,-4.642691,2.734757,17.682226,-22.324917,102.271721,0.774211
3,0.003000,-4.634996,2.746833,17.682226,-22.317222,102.248955,0.760671
4,0.004000,-4.624733,2.764627,17.682226,-22.306959,102.215782,0.782441
5,0.005000,-4.611900,2.788510,17.682226,-22.294126,102.171745,0.780011
6,0.006000,-4.596493,2.818722,17.682226,-22.278719,102.113487,0.781251
7,0.007000,-4.578505,2.855416,17.682226,-22.260731,102.033981,0.782981
8,0.008000,-4.557929,2.898690,17.682226,-22.240155,101.932838,0.774691
9,0.009000,-4.534757,2.948604,17.682226,-22.216983,101.798752,0.772751
10,0.010000,-4.508978,3.005189,17.682226,-22.191204,101.602531,0.772911
11,0.011000,-4.480580,3.068458,17.682226,-22.162806,101.299042,0.798131
12,0.012000,-4.449550,3.138403,17.682226,-22.131776,100.795784,0.772931
13,0.013000,-4.415874,3.214998,17.682226,-22.098099,100.411682,0.770851
14,0.014000,-4.379533,3.298217,17.682226,-22.061759,100.078560,0.779181
15,0.015000,-4.340512,3.388033,17.682226,-22.022738,99.815147,0.776881
16,0.016000,-4.298789,3.484422,17.682226,-21.981015,99.483009,0.856590
17,0.017000,-4.254345,3.587360,17.682226,-21.936571,98.977814,0.763041
18,0.018000,-4.207157,3.696809,17.682226,-21.889383,98.166069,1.000239
19,0.019000,-4.157201,3.812709,17.682226,-21.839427,96.832245,0.855290
20,0.020000,-4.104451,3.934968,17.682226,-21.786677,94.284164,0.774711
21,0.021000,-4.048881,4.063412,17.682226,-21.731107,88.054352,0.772761
22,0.022000,-3.990465,4.197642,17.682226,-21.672691,79.379807,0.766811
23,0.023000,-3.929171,4.337060,17.682226,-21.611397,64.862663,0.780961
24,0.024000,-3.864971,4.480696,17.682226,-21.547196,-87.802071,0.770571
25,0.025000,-3.797833,4.619576,17.682226,-21.480059,-94.169060,0.758552
26,0.026000,-3.727730,4.751066,17.682226,-21.409956,-94.374855,0.758141
27,0.027000,-3.654639,4.874785,17.682226,-21.336865,-93.255424,0.766511
28,0.028000,-3.578538,4.991017,17.682226,-21.260764,-91.647163,0.777831
29,0.029000,-3.499411,5.100180,17.682226,-21.181637,-90.354774,0.776701
30,0.030000,-3.417246,5.202636,17.682226,-21.099472,-88.829765,0.764112
31,0.031000,-3.332033,5.298695,17.682226,-21.014259,-85.358971,0.770901
32,0.032000,-3.243765,5.388722,17.682226,-20.925991,-83.330666,0.763301
33,0.033000,-3.152440,5.472986,17.682226,-20.834666,-87.542824,0.773241
34,0.034000,-3.058059,5.551353,17.682226,-20.740285,-28.416496,0.790000
35,0.035000,-2.960624,5.627198,17.682226,-20.642850,-22.401768,1.179377
36,0.036000,-2.860141,5.701762,17.682226,-20.542367,-28.046574,0.771651
37,0.037000,-2.756617,5.774963,17.682226,-20.438843,-31.613136,1.115007
38,0.038000,-2.650060,5.846475,17.682226,-20.332286,-34.852703,0.775411
